mill,product,count
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 12ft,18
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 10ft,12
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 12ft,12
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 14ft,12
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 8ft,12
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 8ft,11
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 12ft,9
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | <NA>ft,9
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 14ft,8
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 16ft,8
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 16ft,8
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 8ft,7
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | 6ft,7
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 10ft,6
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 16ft,6
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #4 | <NA>ft,5
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 12ft,4
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 16ft,4
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 10ft,3
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 6ft,3
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 8ft,3
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 18ft,3
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 14ft,3
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | 14ft,2
"Anthony Timberlands, Inc (Bearden, AR)",2x10 | #4 | <NA>ft,2
"Anthony Timberlands, Inc (Bearden, AR)",2x12 | #3 | 20ft,2
"Anthony Timberlands, Inc (Bearden, AR)",2x8 | #4 | <NA>ft,2
"Anthony Timberlands, Inc (Bearden, AR)",6x6 | #4 | 10ft,2
"Anthony Timberlands, Inc (Bearden, AR)",2x4 | #4 | 12ft,1
"Anthony Timberlands, Inc (Bearden, AR)",2x4 | #4 | 14ft,1
"Anthony Timberlands, Inc (Bearden, AR)",2x4 | #4 | 16ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | <NA>ft,7
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 6ft,6
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | 8ft,4
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 8ft,4
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 6ft,4
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | <NA>ft,4
"Anthony Timberlands, Inc (Malvern, AR)",2x4 | #3 | 8ft,4
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | 10ft,3
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | 12ft,3
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 8ft,3
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | 14ft,2
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | 16ft,2
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | 6ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 12ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 12ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 14ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 16ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 10ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 12ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 14ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 16ft,2
"Anthony Timberlands, Inc (Malvern, AR)",2x8 | #4 | 8ft,2
"Anthony Timberlands, Inc (Malvern, AR)",1x4 | #4 | <NA>ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #3 | 6ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #4 | 10ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #4 | 12ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #4 | 14ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #4 | 16ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #4 | 8ft,1
"Anthony Timberlands, Inc (Malvern, AR)",1x6 | #4 | <NA>ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 10ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 14ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x10 | #4 | 16ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x12 | #4 | 10ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x4 | #4 | 6ft,1
"Anthony Timberlands, Inc (Malvern, AR)",2x4 | #4 | <NA>ft,1
"Austell Forest Products Inc (Gordo, AL)",4x6 | #4 | 10ft,20
"Austell Forest Products Inc (Gordo, AL)",1x6 | #3 | 6ft,4
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",6x6 | #4 | 10ft,4
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",6x6 | #4 | 8ft,2
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",2x8 | #3 | 12ft,1
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",6x6 | #4 | 12ft,1
"Beasley Forest Prod - Yawn (Hazlehurst, GA)",6x6 | #4 | 6ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #3 | 8ft,78
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 10ft,55
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #3 | 10ft,52
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 8ft,39
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #3 | 12ft,27
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #4 | 8ft,22
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #4 | 10ft,21
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #4 | 16ft,21
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #4 | 8ft,16
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #3 | 8ft,12
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #4 | 14ft,9
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #3 | 12ft,9
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #4 | 8ft,9
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #3 | 10ft,8
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #4 | 12ft,7
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #4 | 8ft,6
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #4 | 10ft,6
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #3 | 14ft,6
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #3 | 10ft,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #4 | 12ft,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #4 | 14ft,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #4 | 16ft,5
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #3 | 12ft,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #3 | 8ft,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 20ft,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #4 | 10ft,4
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #4 | 10ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #3 | 18ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x4 | #3 | 20ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 12ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 14ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #4 | 16ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #4 | 16ft,3
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #3 | 14ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x10 | #3 | 16ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 16ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #3 | 18ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #4 | 14ft,2
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #4 | 12ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x6 | #4 | 14ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #3 | 16ft,1
"Bienville Lumber Company, LLC (Taylor, LA)",2x8 | #4 | 12ft,1
"Biewer Lumber (Winona, MS)",2x4 | #3 | 8ft,9
"Binderholz Timber, LLC (New Orleans, LA)",2x12 | #3 | 12ft,5
"Binderholz Timber, LLC (New Orleans, LA)",2x12 | #3 | 10ft,1
"CLW, Inc. (Splendora, TX)",2x4 | #4 | 10ft,1
"CLW, Inc. (Splendora, TX)",2x4 | #4 | 12ft,1
"CLW, Inc. (Splendora, TX)",2x4 | #4 | 14ft,1
"CLW, Inc. (Splendora, TX)",2x4 | #4 | 16ft,1
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x12 | #4 | <NA>ft,8
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x10 | #4 | 6ft,2
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x12 | #4 | 6ft,2
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x8 | #4 | 6ft,2
"Cal-Tex Lumber Co. (Nacogdoches, TX)",2x6 | #4 | 6ft,1
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #4 | 8ft,8
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #4 | 12ft,6
"Cal-Tex Lumber Co. (Pollok, TX)",4x4 | #4 | 10ft,4
"Cal-Tex Lumber Co. (Pollok, TX)",2x4 | #4 | 8ft,2
"Cal-Tex Lumber Co. (Pollok, TX)",2x4 | #4 | 10ft,1
"Cal-Tex Lumber Co. (Pollok, TX)",2x4 | #4 | 12ft,1
"Canfor Southern Pine (Bucks, AL)",2x4 | #3 | 12ft,16
"Canfor Southern Pine (Bucks, AL)",2x4 | #3 | 16ft,13
"Canfor Southern Pine (Bucks, AL)",2x4 | #3 | 8ft,13
"Canfor Southern Pine (Bucks, AL)",2x4 | #3 | 10ft,9
"Canfor Southern Pine (Bucks, AL)",2x4 | #3 | 14ft,9
"Canfor Southern Pine (Bucks, AL)",2x10 | #4 | 16ft,3
"Canfor Southern Pine (Bucks, AL)",2x10 | #4 | 8ft,3
"Canfor Southern Pine (Bucks, AL)",2x10 | #4 | 12ft,2
"Canfor Southern Pine (Bucks, AL)",2x10 | #4 | 14ft,2
"Canfor Southern Pine (Bucks, AL)",2x6 | #4 | 8ft,2
"Canfor Southern Pine (Bucks, AL)",2x8 | #4 | 16ft,2
"Canfor Southern Pine (Bucks, AL)",2x10 | #4 | 10ft,1
"Canfor Southern Pine (Bucks, AL)",2x10 | #4 | <NA>ft,1
"Canfor Southern Pine (Bucks, AL)",2x4 | #4 | 10ft,1
"Canfor Southern Pine (Bucks, AL)",2x4 | #4 | 14ft,1
"Canfor Southern Pine (Bucks, AL)",2x6 | #3 | 8ft,1
"Canfor Southern Pine (Bucks, AL)",2x6 | #4 | 16ft,1
"Canfor Southern Pine (Bucks, AL)",2x8 | #4 | 12ft,1
"Canfor Southern Pine (Bucks, AL)",2x8 | #4 | 14ft,1
"Canfor Southern Pine (Bucks, AL)",2x8 | #4 | 8ft,1
"Canfor Southern Pine (Deridder, LA)",2x4 | #3 | 8ft,46
"Canfor Southern Pine (Deridder, LA)",2x4 | #3 | 10ft,37
"Canfor Southern Pine (Deridder, LA)",2x4 | #3 | 12ft,7
"Canfor Southern Pine (Deridder, LA)",2x4 | #3 | 14ft,2
"Canfor Southern Pine (Deridder, LA)",2x6 | #3 | 10ft,2
"Canfor Southern Pine (Deridder, LA)",2x4 | #4 | 8ft,1
"Canfor Southern Pine (Deridder, LA)",2x6 | #3 | 8ft,1
"Canfor Southern Pine (Deridder, LA)",2x8 | #3 | 8ft,1
"Canfor Southern Pine (Deridder, LA)",4x4 | #4 | 10ft,1
"Canfor Southern Pine (Deridder, LA)",4x4 | #4 | 12ft,1
"Canfor Southern Pine (Deridder, LA)",4x4 | #4 | 8ft,1
"Canfor Southern Pine (El Dorado, AR)",2x4 | #3 | 10ft,10
"Canfor Southern Pine (El Dorado, AR)",2x4 | #3 | 8ft,9
"Canfor Southern Pine (El Dorado, AR)",2x4 | #3 | 12ft,5
"Canfor Southern Pine (El Dorado, AR)",2x4 | #4 | 10ft,4
"Canfor Southern Pine (El Dorado, AR)",2x4 | #4 | 8ft,4
"Canfor Southern Pine (El Dorado, AR)",2x4 | #4 | 12ft,3
"Canfor Southern Pine (El Dorado, AR)",2x6 | #3 | 8ft,3
"Canfor Southern Pine (El Dorado, AR)",2x10 | #3 | 12ft,1
"Canfor Southern Pine (El Dorado, AR)",2x10 | #4 | 8ft,1
"Canfor Southern Pine (El Dorado, AR)",2x4 | #4 | 14ft,1
"Canfor Southern Pine (El Dorado, AR)",2x6 | #3 | 10ft,1
"Canfor Southern Pine (Fulton, AL)",2x4 | #3 | 10ft,7
"Canfor Southern Pine (Fulton, AL)",2x4 | #3 | 12ft,7
"Canfor Southern Pine (Fulton, AL)",2x4 | #3 | 8ft,7
"Canfor Southern Pine (Fulton, AL)",2x8 | #3 | 12ft,4
"Canfor Southern Pine (Fulton, AL)",2x8 | #3 | 14ft,4
"Canfor Southern Pine (Fulton, AL)",2x10 | #4 | 8ft,3
"Canfor Southern Pine (Fulton, AL)",2x12 | #3 | 12ft,3
"Canfor Southern Pine (Fulton, AL)",2x4 | #3 | 14ft,3
"Canfor Southern Pine (Fulton, AL)",2x6 | #3 | 8ft,3
"Canfor Southern Pine (Fulton, AL)",2x8 | #3 | 10ft,3
"Canfor Southern Pine (Fulton, AL)",2x8 | #3 | 16ft,3
"Canfor Southern Pine (Fulton, AL)",2x8 | #3 | 8ft,3
"Canfor Southern Pine (Fulton, AL)",2x8 | #4 | 8ft,3
"Canfor Southern Pine (Fulton, AL)",2x12 | #3 | 14ft,2
"Canfor Southern Pine (Fulton, AL)",2x12 | #3 | 16ft,2
"Canfor Southern Pine (Fulton, AL)",2x8 | #4 | 16ft,2
"Canfor Southern Pine (Fulton, AL)",2x10 | #4 | 10ft,1
"Canfor Southern Pine (Fulton, AL)",2x10 | #4 | 12ft,1
"Canfor Southern Pine (Fulton, AL)",2x10 | #4 | 14ft,1
"Canfor Southern Pine (Fulton, AL)",2x10 | #4 | 16ft,1
"Canfor Southern Pine (Fulton, AL)",2x10 | #4 | <NA>ft,1
"Canfor Southern Pine (Fulton, AL)",2x12 | #3 | 10ft,1
"Canfor Southern Pine (Fulton, AL)",2x12 | #3 | 8ft,1
"Canfor Southern Pine (Fulton, AL)",2x4 | #4 | 14ft,1
"Canfor Southern Pine (Fulton, AL)",2x6 | #3 | 10ft,1
"Canfor Southern Pine (Fulton, AL)",2x6 | #4 | 10ft,1
"Canfor Southern Pine (Fulton, AL)",2x6 | #4 | 12ft,1
"Canfor Southern Pine (Fulton, AL)",2x6 | #4 | 14ft,1
"Canfor Southern Pine (Fulton, AL)",2x8 | #4 | 10ft,1
"Canfor Southern Pine (Fulton, AL)",2x8 | #4 | 12ft,1
"Canfor Southern Pine (Fulton, AL)",2x8 | #4 | <NA>ft,1
"Canfor Southern Pine (Strong, AR)",2x12 | #4 | 12ft,3
"Canfor Southern Pine (Strong, AR)",2x12 | #4 | 8ft,3
"Canfor Southern Pine (Strong, AR)",2x10 | #4 | 10ft,2
"Canfor Southern Pine (Strong, AR)",2x12 | #4 | 10ft,2
"Canfor Southern Pine (Strong, AR)",2x12 | #4 | 16ft,2
"Canfor Southern Pine (Strong, AR)",2x12 | #4 | 14ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #4 | 10ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #4 | 12ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #4 | 14ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #4 | 16ft,1
"Canfor Southern Pine (Strong, AR)",2x8 | #4 | 8ft,1
"Charles Ingram (Effingham, SC)",4x6 | #4 | <NA>ft,4
"Charles Ingram (Effingham, SC)",4x4 | #4 | 10ft,1
"Charles Ingram (Effingham, SC)",4x4 | #4 | 12ft,1
"Charles Ingram (Effingham, SC)",4x4 | #4 | 14ft,1
"Charles Ingram (Effingham, SC)",4x4 | #4 | 16ft,1
"Charles Ingram (Effingham, SC)",4x6 | #3 | 8ft,1
"Charles Ingram (Effingham, SC)",4x6 | #4 | 8ft,1
"Chickasaw Lumber Company, LLC (Navasota, TX)",4x4 | #4 | 7ft,3
"Chickasaw Lumber Company, LLC (Navasota, TX)",2x6 | #4 | 12ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | 8ft,11
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | 8ft,9
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | 10ft,8
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | 12ft,8
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | 16ft,7
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | 14ft,7
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | 12ft,6
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | 14ft,6
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | 16ft,6
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | <NA>ft,6
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | 8ft,6
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | 10ft,5
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | 10ft,5
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | 12ft,5
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | 16ft,5
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | 12ft,4
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | 8ft,4
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | 14ft,4
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #3 | 10ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #3 | 8ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | 10ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | 14ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | 16ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #3 | 12ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #4 | 12ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #4 | 16ft,3
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #3 | 10ft,2
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #3 | 10ft,2
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #4 | 10ft,2
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #4 | 8ft,2
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | 6ft,2
"Coushatta Forest Products, LLC (Coushatta, LA)",4x6 | #4 | <NA>ft,2
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | 6ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x4 | #4 | <NA>ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | 6ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x6 | #4 | <NA>ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #3 | 14ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #3 | 16ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #3 | 8ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",2x8 | #4 | 14ft,1
"Coushatta Forest Products, LLC (Coushatta, LA)",4x4 | #4 | 6ft,1
"Doman Lumber (Gilmer, TX)",1x4 | #3 | 10ft,5
"Doman Lumber (Magnolia, AR)",1x4 | #3 | 8ft,1
"Doman Lumber (Magnolia, AR)",1x6 | #3 | 14ft,1
"Doman Lumber (Russellville, AR)",1x6 | #4 | 10ft,7
"Doman Lumber (Russellville, AR)",1x6 | #4 | 16ft,7
"Doman Lumber (Russellville, AR)",1x6 | #4 | 12ft,6
